title,date,content,rating
Good toothpaste in general,13th November 2020,"This toothpaste is great in general. It has a great fresh, minty taste, great foaming properties. The price is just right. I love how it leaves my teeth squeeky clean and the great minty fresh taste that lingers afterwards. It's gentle enough for my sensitive teeth and gums. Unfortunately I couldn't notice any whitening effect on my teeth.",4 stars
Fresh breath toothpaste,12th November 2020,"This toothpaste leaves your mouth feeling fresh and clean, I would definitely buy this again Instead of the brand I usually buy.",4 stars
Not to my taste,12th November 2020,"I'm sure it would be a lovely product for someone else, but I really can't handle the taste of it. So this is completely down to personal taste... Literally :)",3 stars
Fresh mouth,12th November 2020,"This toothpaste is great,leaving my whole mouth feeling freah and clean,love the anti-bacterial formula and fresh minty taste.",5 stars
Not to my taste,12th November 2020,"I'm sure it would be a lovely product for someone else, but I really can't handle the taste of it. So this is completely down to personal taste... Literally :)",3 stars
New toothpaste,12th November 2020,My mouth felt clean and fresh and teeth felt clean,5 stars
Not to my taste,12th November 2020,"I'm sure it would be a lovely product for someone else, but I really can't handle the taste of it. So this is completely down to personal taste... Literally :)",3 stars
Colgate Total Whitening Toothpaste,12th November 2020,It left a minty and refreshing taste after brushing.,4 stars
Fresh breath toothpaste,12th November 2020,"This toothpaste leaves your mouth feeling fresh and clean, I would definitely buy this again Instead of the brand I usually buy.",4 stars
Not to my taste,12th November 2020,"I'm sure it would be a lovely product for someone else, but I really can't handle the taste of it. So this is completely down to personal taste... Literally :)",3 stars
Love it,11th November 2020,Love this toothpaste. Great taste. Whitens and brightens teeth.,5 stars
Works,11th November 2020,Nice taste. Creates a good foam. Noticed a whiter brighter smile within a couple of weeks,4 stars
Clean fresh mouth,11th November 2020,Lovely taste not too strong My teeth felt really clean and my mouth was fresher for a long time,5 stars
Fresh feeling,11th November 2020,Left my mouth feeling really clean and fresh. I sometimes suffer from sensitive teeth but I had no issues when using this toothpaste,5 stars
New favourite toothpaste,11th November 2020,My teeth look whiter and healthier than before. The taste is good too.,5 stars
Love it,11th November 2020,Love this toothpaste. Great taste. Whitens and brightens teeth.,5 stars
I really rate this toothpaste,11th November 2020,"I really rate this toothpaste, I love the taste and the feel it leaves my teeth after brushing. It gives you fresh breathe and a good clean feeling on your teeth.",5 stars
Toothpaste for family,11th November 2020,"Delicate mint and good for sensituve tooth, my children like this taste.",4 stars
New favourite toothpaste,11th November 2020,My teeth look whiter and healthier than before. The taste is good too.,5 stars
Great taste and you can feel it works!,11th November 2020,This toothpaste has a great taste and you could feel it working. My teeth feel smother and brighter. The minty taste stayed in my mouth for ages!,5 stars
"Its good, but no better then the others.",11th November 2020,"I have been using various Colgate toothpastes for many years now. Its not the best, nor bad in any way, but absolutely average. I prefer the Whitening variety they do. But do prefer these large 125ml tubes.",4 stars
Fresh feeling,11th November 2020,Left my mouth feeling really clean and fresh. I sometimes suffer from sensitive teeth but I had no issues when using this toothpaste,5 stars
New favourite toothpaste,11th November 2020,My teeth look whiter and healthier than before. The taste is good too.,5 stars
Love it,11th November 2020,Love this toothpaste. Great taste. Whitens and brightens teeth.,5 stars
I really rate this toothpaste,11th November 2020,"I really rate this toothpaste, I love the taste and the feel it leaves my teeth after brushing. It gives you fresh breathe and a good clean feeling on your teeth.",5 stars
Toothpaste for family,11th November 2020,"Delicate mint and good for sensituve tooth, my children like this taste.",4 stars
Great all round toothpaste,11th November 2020,Colgate total left my teeth and gums feeling lovely and clean. The taste is not too strong and leaves mouth very clean. Would recommend for a daily toothpaste for all the family!,5 stars
Fresh and clean,11th November 2020,After using this product for two days my teeth felt really clean and smooth. The taste of the toothpaste was quite refreshing. I did find that I needed to apply slightly more toothpaste onto my brush than that of my usual toothpaste.,5 stars
Super clean teeth!,11th November 2020,"I have really enjoyed using the Colgate Total original toothpaste. I have used it for 3 days now, morning and night and I could notice a real difference in how clean my teeth felt after the first use. I usually stick to a whitening toothpaste, but Colgate Total does so much more than just whiten. My teeth look super shiny and feel really clean. I can't stop running my tongue over my teeth as they feel plaque free and smooth. My 10 year old daughter has also tried to the Colgate Total toothpaste and has enjoyed using it. My daughter is usually fussy when it comes to toothpaste and finds some of the mint flavours overpowering. However, Colgate Total seem to have it just right. It's a mild mint flavour that isn't too overpowering and still freshens breath. After two minutes of brushing in the morning, my teeth feel clean and breath fresh all day. I will definitely continue to use Colgate Total toothpaste after the trial period! Brilliant toothpaste!",5 stars
Very impressed,11th November 2020,I was very impressed with the toothpaste which left my teeth looking and feeling clean. The taste of the toothpaste is also very pleasant.,4 stars
Minty freshness,11th November 2020,Nice fresh minty taste but not over powering. Teeth feel clean and mouth feels fresh afterwards,4 stars
Ideal family toothpaste,11th November 2020,The toothpaste gave a good clean feeling to my teeth and didn't have the chalky leftover taste that some toothpaste have my teeth felt squeegeeing clean,4 stars
